component,verdict,parents,note
"store prior problem-solving experience",MATERIALLY_ANTICIPATED,"mostow1989;hammond1990;veloso1994;agent_skill_memory",""
"retrieve structurally similar cases",MATERIALLY_ANTICIPATED,"gentner1983;promise2026;leansearch_v2",""
"adapt source to target",MATERIALLY_ANTICIPATED,"mostow1989;veloso1994",""
"reuse partial source plans",MATERIALLY_ANTICIPATED,"mostow1989;hammond1990",""
"use failures/repairs as experience",MATERIALLY_ANTICIPATED,"hammond1990;cegis_property_2026",""
"counterexample/residual-guided refinement",MATERIALLY_ANTICIPATED,"cegis_property_2026",""
"hierarchical external skills/method memory",MATERIALLY_ANTICIPATED,"agent_skill_memory;dreamcoder",""
"content-bound (O,T,O') episode with explicit source authority/preconditions/effects/invariants/breakpoints",PARTIALLY_ANTICIPATED,"veloso1994;promise2026","partial analogues; no identical typed content-bound scientific episode object found in registered search"
"target mapping accounts for every enabling precondition and forbidden loss",PARTIALLY_ANTICIPATED,"mostow1989;veloso1994","correspondence/justification checks exist; RAKL forbidden-loss + complete precondition accounting as fail-closed scientific gate is integration-level"
"SEARCH/JUMP complete-effect vs GLUE partial-effect",PARTIALLY_ANTICIPATED,"mostow1989;hammond1990","partial reuse exists; explicit full-vs-partial route typing not found as same contract"
"strict SEARCH→JUMP→GLUE→LIFT invention-last chronology",SYSTEM_COMBINATION_NOT_FOUND_WITHIN_REGISTERED_SEARCH,"","no identical named/equivalent full chronology found in registered search; strongest-parent composition still anticipates much conceptual space"
"LIFT requires candidate-accounted cross-problem coverage + repeated residual",PARTIALLY_ANTICIPATED,"cegis_property_2026;dreamcoder","exhaustion/invention pressure analogues; compound RAKL gate not matched as one source"
"LIFT returns specification not self-authorized tool/proof",PARTIALLY_ANTICIPATED,"dreamcoder","library specs/abstractions exist; RAKL specification-only + authority firewall is governance distinction"
"transformation memory cannot mint scientific/theorem/novelty authority",PARTIALLY_ANTICIPATED,"parent_internal","assurance/provenance traditions overlap; RAKL integration into pre-candidate math runtime is the local distinction"
